列号,A,B,C,D,E,F,G,H,I,J,K,L
字段名 (填在第一行),no,id,title_cn,title_en,tags_cn,tags_en,image,aspect,span,Date,credits_cn,credits_en
填写说明与示例,唯一的数字编号指示符,用英文标题的缩写来作为唯一的id,中文研究标题,英文研究标题,中文标签（多个用英文逗号隔开）。例如：实验室、文章、观点,英文标签。例如：Lab、Article、Opinion,封面大图,"九宫格单元视觉比例 (如 aspect-square, aspect-video)",九宫格网格跨越比 (如 md:col-span-2 或空),日期,作者中文名,作文英文名
网页排版作用,,用于生成网页专属链接 (如 rdilighting.com/shanghai-ins)。,生成网页中文大标题。,"生成网页英文副标题,AI 会自动处理中英文字体的优雅组合。",网页顶部的中文分类筛选器。,网页顶部的英文分类筛选器。,,,,,,
是否选填,必填,必填,必填,必填,选填,选填,必填,选填,选填,必填,选填,选填
,1,,,,,,,,,,,
,2,,,,,,,,,,,
,3,,,,,,,,,,,
,4,,,,,,,,,,,
,5,,,,,,,,,,,
,6,,,,,,,,,,,
,7,,,,,,,,,,,
,8,,,,,,,,,,,
,9,,,,,,,,,,,
,10,,,,,,,,,,,
