id,block_order,block_type,layout_style,content_1_cn (左侧/主内容),content_1 _en(左侧/主内容),content_2_cn (右侧/次内容),content_2_en (右侧/次内容),,,,
20240515_lda,1,text_1col,align-center,"###项目概况
上海当代艺术博物馆(PSA)选址于2010年上海世博会未来馆，前身是始建于1897年的南市发电厂。它是中国大陆第一家公立当代艺术博物馆，主要收藏、展示和陈列1980年代以来的中国当代艺术作品。","###Project Overview
Shanghai Power Station of Art (PSA) is located in the former Pavilion of Future of the 2010 Shanghai Expo, originally the Nanshi Power Plant built in 1897. It is the first public contemporary art museum in mainland China, primarily collecting and exhibiting Chinese contemporary art since the 1980s.",,,,,,
20240515_lda,2,image_grid,1-2 (左大右小),"https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/shanghai-psa/02.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/shanghai-psa/03.webp",,,,,,,
20240515_lda,3,text_2col,50-50 (均分双栏),"###定位
从定位和整体策略上来说,现代艺术的展馆摒弃把环境打得很暗,将展品照得很亮的高对比照明手法,而是采用明亮、简洁的照明方式 [cite: 29]。","###Strategic
Strategically, it abandons the traditional high-contrast lighting of making the environment dark and exhibits bright, instead adopting a bright and concise lighting method[cite: 29].","###特色
一方面缓解视觉疲劳,另一方面更好地展示艺术品的特色 [cite: 29]。","###Feature
This relieves visual fatigue and better displays the characteristics of the artworks[cite: 29].",,,,
20240515_lda,4,image_full,full-width,https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/shanghai-psa/04.webp,,,,,,,
20240515_lda,5,text_img,text-left,"该博物馆于2012年10月1日开馆,是中国大陆第一家公立的当代艺术博物馆 [cite: 28]。本项目的设计目标是实现艺术品与观众之间的视觉互动,为观众提供舒适的光照环境 [cite: 28]。设计着眼于整个艺术博物馆中观众的流线和艺术品的展陈关系 [cite: 28]。","Opened on October 1, 2012, this is the first public contemporary art museum in mainland China[cite: 28]. The design goal is to realize visual interaction between artworks and audiences, providing a comfortable lighting environment[cite: 28]. The design focuses on the audience's circulation and the display relationship of the artworks[cite: 28]. ",https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/shanghai-psa/05.webp,,,,,
20240515_lda,6,image_grid,masonry (瀑布流)," https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/shanghai-psa/06.webp, https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/shanghai-psa/07.webp, https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/shanghai-psa/08.webp, https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/shanghai-psa/09.webp, https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/shanghai-psa/10.webp, https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/shanghai-psa/11.webp, https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/shanghai-psa/12.webp,",,,,,,,
20240422_sun,1,text_1col,align-center,"建筑外形设计理念来源于全新的设计文化以及当代的先锋包裹艺术 [cite: 8]。建筑幕墙大面积使用了折扇型的银灰色冲孔铝板,将原有建筑体包裹在内,整体外观在日间仿佛云彩般轻盈、灵动 [cite: 8]。照明设计意图将建筑形体的体量感以及通透感在夜间得以延续 [cite: 8]。方案在建筑外幕墙背后的框架结构上设置LED线条灯具,向内侧的实墙投光,将其均匀打亮作为内部背光 [cite: 9]。反射的光线透过外层的冲孔铝板,使建筑整体形成了好似轻盈,明亮的灯笼一般的灯光效果 [cite: 9]。室内空间的照明设计结合建筑空间语言,充分利用与调和自然采光与人工光,拟定了多种合理的照明场景模式 [cite: 9]。","The architectural design concept originates from new design culture and contemporary avant-garde wrapping art[cite: 8]. The curtain wall uses folded fan-shaped silver-gray perforated aluminum panels, wrapping the original building and making the exterior look light and agile like clouds during the day[cite: 8]. The lighting design continues this sense of volume and transparency at night[cite: 8]. LED linear lights are installed on the frame structure behind the exterior curtain wall to illuminate the solid wall inside, serving as internal backlighting[cite: 9]. Reflected light passes through the perforated panels, creating a bright lantern-like effect[cite: 9]. The interior lighting design combines architectural language, harmonizing natural and artificial light, and defines various rational lighting scene modes[cite: 9].",,,,,,
20240422_sun,2,image_grid,1-2 (左大右小)," https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/nanjing-baiyunting/01.webp, https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/nanjing-baiyunting/02.webp, ",,,,,,,
20240422_sun,3,image_grid,masonry (瀑布流),"https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/nanjing-baiyunting/02.webp, https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/nanjing-baiyunting/03.webp, https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/nanjing-baiyunting/04.webp, https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/nanjing-baiyunting/05.webp, https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/nanjing-baiyunting/06.webp, https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/nanjing-baiyunting/07.webp, https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/nanjing-baiyunting/08.webp, https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/nanjing-baiyunting/09.webp, https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/nanjing-baiyunting/10.webp, https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/nanjing-baiyunting/11.webp, https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/nanjing-baiyunting/12.webp, https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/nanjing-baiyunting/13.webp, https://rdilighting.oss-cn-hongkong.aliyuncs.com/media/projects/nanjing-baiyunting/14.webp",,,,,,,
20240410_mdw,1,text_1col,align-center,"上海自然博物馆建筑设计灵感来源于“螺”的壳体结构 [cite: 31]。与传统博物馆不同的是,自然光成为展厅的重要的光源之一 [cite: 11]。在照明设计中,制定了视觉与展示、生态与科学、低炭与绿色三大原则 [cite: 12]。考虑到人工光和自然光的交接与转化过程中的视觉舒适性,采用了透视幕帘巧妙平衡室内展示照明和室外自然光,既可欣赏馆外景观,又避免高对比眩光 [cite: 14]。同时通过智能控制系统根据白天自然光的变化调节合适的照明等级 [cite: 14]。针对不同主题展厅灵活应用LED投射灯、深色导轨灯、发光灯箱等多种手段 [cite: 13, 14, 16],并严格控制对光敏感展品（皮毛、动物标本等）的曝光量 [cite: 12]。","The architectural design of the Shanghai Natural History Museum is inspired by the nautilus shell structure[cite: 31]. Unlike traditional museums, natural light is an important light source for the exhibition halls[cite: 11]. The lighting design follows three principles: visual and display, ecological and scientific, and low-carbon and green[cite: 12]. To ensure visual comfort during the transition between artificial and natural light, perspective curtains are used to ingeniously balance indoor exhibition lighting and outdoor natural light, allowing outside views while avoiding high-contrast glare[cite: 14]. An intelligent control system adjusts appropriate lighting levels based on natural daylight changes[cite: 14]. Various methods such as LED projection lights, dark track lights, and luminous light boxes are flexibly applied to different thematic exhibition halls [cite: 13, 14, 16], while strictly controlling the exposure of light-sensitive exhibits (fur, specimens, etc.)[cite: 12].",,,,,,
