project_id,block_order,block_type,layout_style,content_1_cn (左侧/主内容),content_1 _en(左侧/主内容),content_2_cn (右侧/次内容),content_2_en (右侧/次内容)
shanghai-psa,1,text_1col,align-center,"### 项目概况及背景
上海当代艺术博物馆 (PSA) 选址于2010年上海世博会未来馆，前身是始建于1897年的南市发电厂。作为中国大陆第一家公立当代艺术博物馆，项目坐落于上海黄浦江畔。照明设计突破传统高对比度束缚，采用明亮、简洁的现代光环境策略，实现艺术品与观众之间的视觉互动，打造上海城市文化新地标。","### Project Overview
Located along the Huangpu River, Shanghai Power Station of Art (PSA) is housed in the former Pavilion of Future of the 2010 Shanghai Expo, originally the Nanshi Power Plant (1897). As mainland China's first public contemporary art museum, the lighting design breaks away from traditional high-contrast constraints, adopting a bright, concise modern light environment to foster visual interaction between artworks and audiences.",,
shanghai-psa,2,image_full,full-width,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-psa/02.webp,,,
shanghai-psa,3,text_2col,50-50,"### 尊重历史的工业回响
在历史建筑的改造中，光线是最柔和的刻刀。设计团队不仅保留了南市发电厂原有的粗犷工业结构，更通过隐蔽的轨道照明与大尺度的均匀泛光，让历经沧桑的钢筋水泥在现代艺术的语境下重新呼吸，实现了工业遗迹与当代审美的跨时空对话。","### Industrial Echoes Respecting History
In the renovation of historical buildings, light acts as the gentlest carving knife. The design team preserved the original rough industrial structure of the Nanshi Power Plant, using concealed track lighting and large-scale uniform floodlighting to allow the weathered reinforced concrete to breathe again in the context of modern art.","### 突破传统的观展光环境
传统的博物馆往往采用极暗的背景与高对比度的聚光来突出展品，而 PSA 的照明设计则反其道而行之。以明亮、简洁的高雅光环境为主调，既缓解了长时间观展的视觉疲劳，又为观众提供了一个可以放松交流的驻足空间，让光、艺术品与人融为一体。","### Breaking Traditional Exhibition Lighting
Traditional museums often use extremely dark backgrounds and high-contrast spotlights to highlight exhibits. The lighting design at PSA takes a different approach. Dominated by a bright, concise, and elegant light environment, it relieves visual fatigue from long-term viewing and provides audiences with a relaxing space to pause and interact."
shanghai-psa,4,image_grid,masonry,"https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-psa/03.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-psa/04.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-psa/05.webp",,,
shanghai-psa,5,text_1col,align-left,"### 自然光与人工光的平衡共生
空间顶部的天窗系统被巧妙利用。通过智能调光系统，室内人工照明能够根据引入的室外自然光的强弱进行实时补偿。这种克制而精确的光学策略，不仅极大地节约了能源，更为那些对光照敏感的珍贵展品提供了严密的保护层。","### Symbiosis of Natural and Artificial Light
The skylight system at the top of the space is ingeniously utilized. Through an intelligent dimming system, indoor artificial lighting can perform real-time compensation based on the intensity of natural light introduced from outside. This restrained and precise optical strategy not only saves energy but also provides a strict protective layer for light-sensitive exhibits.",,
shanghai-psa,6,image_grid,masonry,"https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-psa/06.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-psa/07.webp",,,
shanghai-psa,7,image_full,full-width,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-psa/08.webp,,,
shanghai-psa,8,text_1col,align-center,*昔日的工业巨炉，如今在当代光影的拥吻下，重获新生。*,*The former industrial furnace is now reborn under the embrace of contemporary light and shadow.*,,
nanjing-baiyunting,1,text_1col,align-center,"### 唤醒工业时代的城市记忆
南京白云亭文化艺术中心改建项目，建筑幕墙大面积使用了折扇型的银灰色冲孔铝板。照明设计意图在夜间延续建筑形体的通透感，通过在幕墙背后的框架结构上设置LED线条灯具形成内部背光。反射光透过冲孔铝板，使整体建筑在南京的夜色中犹如一盏轻盈明亮的灯笼。","### Awakening Urban Memories of the Industrial Era
The Nanjing Baiyunting Cultural and Art Center renovation features folded fan-shaped silver-gray perforated aluminum panels. The lighting design continues the building's transparency at night by installing LED linear lights behind the curtain wall for internal backlighting. Reflected light passing through the panels transforms the architecture into a luminous lantern in the Nanjing night.",,
nanjing-baiyunting,2,image_full,full-width,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/02.webp,,,
