id,block_order,block_type,content_title_cn,content_title_en,content_body_cn,content_body_en,image_refs,,,,
led_museum_painting_vp,1,hero_title,基于视知觉理论的博物馆国画展陈LED照明实验研究,Experimental Study on LED Lighting of Traditional Chinese Painting Exhibition in Museum Based on the Theory of Visual Perception,作者：胡国剑，金其映，吴来明，徐方圆，黄河，李键<br/>单位：同济大学创意设计学院；国家文物局博物馆环境重点科研基地（上海博物馆）；上海傲特盛照明电器有限公司<br/>资助：国家文物局文物保护科学和技术研究课题（20120206）,"""Authors: Guojian Hu, Qiying Jin, Laiming Wu, Fangyuan Xu, He Huang, Jian Li<br/>Affiliations: Tongji Institute of Art and Design Innovation; Key Scientific Research Base of Museum Environment (Shanghai Museum), SACH; Shanghai Ultra Spectrum Co., Ltd.<br/>Funding: SACH Research Project (20120206)""",cover_led_painting.jpg,,,,
led_museum_painting_vp,2,text_1col,1. 实验简介与摘要,1. Introduction & Abstract,本轮实验研究主要针对垂直平面展品展陈照明的照度及色温进行双因素实验研究。通过搭建实际的博物馆展陈单元组件，改变LED光源的照度和色温组合，利用语义差别量表法（SD法）对被试人员的感知因子进行主观评价调查，进而研究LED光源在传统中国书画展陈照明中的主观评价适用性。,"""This experimental research performs a two-factor study targeting the illuminance and correlated color temperature (CCT) of vertical exhibition lighting. By constructing a mockup museum exhibition unit and varying the lighting combinations, the subjects' perception factors were investigated using the Semantic Differential (SD) method to evaluate the subjective assessment and applicability of LED light sources in traditional Chinese painting exhibitions.""",,,,,
led_museum_painting_vp,3,image_grid,实验搭建视点与实景,Experimental Cabin Setup Viewports,图1：实验室实景照片与实验舱平面图<br/>图2：展柜展陈单元三视图与立面图,"""Fig 1: Real Photos of the Laboratory and Floor Plan of the Cabin<br/>Fig 2: Three-dimensional Showcase Layout and Elevation View""",lab_photos.jpg;lab_plan.jpg;showcase_views.jpg,,,,
led_museum_painting_vp,4,text_2col,2. 实验变量设置,2. Experimental Variables & Panel,"【光环境控制变量】<br/>1. 照度水平：15 lx, 50 lx, 150 lx, 400 lx（全面覆盖CIE及我国标准规定的保护照度及常用博物馆垂直展陈范围）。<br/>2. 色温梯度：3000 K, 4000 K, 5000 K, 6500 K。<br/>两两组合形成16组独立固定照明场景。","""[Luminous Environment Variables]<br/>1. Illuminance Levels: 15 lx, 50 lx, 150 lx, 400 lx (covering the damage-prevention and vertical exhibition standard ranges of CIE and China).<br/>2. Correlated Color Temperature (CCT): 3000 K, 4000 K, 5000 K, 6500 K.<br/>These are paired to form 16 independent static lighting scenarios.""",,,,,
led_museum_painting_vp,5,text_2col,3. 被试人员构成,3. Subjects Evaluation Panel,【主观评价团队人员】<br/>实验共组织10位专业被试者参加。其中7名女性，3名男性，年龄分布在20—40岁。被试专业背景由6位照明设计行业专家及4位同济大学建筑学专业研究生构成。所有人员均通过视力测验与色盲辨别测试，确保主观感官评价数据客观性。,"""[Subject Evaluation Panel Demographics]<br/>A total of 10 professional subjects participated in the experiment (7 females, 3 males, aged 20-40). The panel background comprises 6 practitioners from the lighting design industry and 4 architectural graduate students from Tongji University. All passed standard visual acuity and color blindness tests.""",,,,,
led_museum_painting_vp,6,data_table,16组测试场景工况对照矩阵,16 Testing Scenario Operation Matrix,"序号,色温(K),照度(lx),场景特征;1,3000K,15lx,测试场景A;2,3000K,50lx,测试场景B;3,3000K,150lx,测试场景C;4,3000K,400lx,测试场景D;5,4000K,15lx,测试场景E;6,4000K,50lx,测试场景F;7,4000K,150lx,测试场景G;8,4000K,400lx,测试场景H;9,5000K,15lx,测试场景I;10,5000K,50lx,测试场景J;11,5000K,150lx,测试场景K;12,5000K,400lx,测试场景L;13,6500K,15lx,测试场景M;14,6500K,50lx,测试场景N;15,6500K,150lx,测试场景O;16,6500K,400lx,测试场景P","""No.,CCT(K),Illuminance(lx),Scenario Type;1,3000K,15lx,Test A;2,3000K,50lx,Test B;3,3000K,150lx,Test C;4,3000K,400lx,Test D;5,4000K,15lx,Test E;6,4000K,50lx,Test F;7,4000K,150lx,Test G;8,4000K,400lx,Test H;9,5000K,15lx,Test I;10,5000K,50lx,Test J;11,5000K,150lx,Test K;12,5000K,400lx,Test L;13,6500K,15lx,Test M;14,6500K,50lx,Test N;15,6500K,150lx,Test O;16,6500K,400lx,Test P""",,,,,
led_museum_painting_vp,7,text_1col,4. 数据发现与多感知因子分析,4. Data Findings & Multi-Perceptual Analysis,通过数据统计发现：舒适度、清晰度、明亮感、丰富感等因子中，照度起绝对主导影响，色温为次要影响。暖-冷感知因子由色温决定。丰富感因子在50lx-150lx区间内随照度提高而显著增加，而中性色温（4000K/5000K）最有利表现展品纹理与细节丰富性。过高色温（6500K）或过低色温（3000K）对传统字画的丰富感塑造存在不利趋势。,"""Statistical data reveals that among indicators such as comfort, clarity, brightness, and richness, illuminance plays a dominant role, while CCT is a secondary factor. The warm-cold factor is stably determined by CCT. Richness sensations significantly increase with illuminance within the 50lx-150lx range, where neutral CCTs (4000K/5000K) optimally enhance artwork textures. Extreme CCTs like 6500K or 3000K degrade richness exhibition.""",,,,,
led_museum_painting_vp,8,quote_highlight,5. 博物馆国画垂直陈列选型指导结论,5. Core Selection Recommendations for Vertically Displayed Chinese Artwork,数据加权分析后针对我国博物馆古代书画LED应用提出以下策略：<br/>1. 观众在垂直平均照度达 150 lx 左右时整体主观满意度达到最高峰值。<br/>2. 受文物保护限制执行低照度陈列时（≤50 lx）：强烈建议选用中性偏冷色温（5000 K），以拉高视觉清晰度。<br/>3. 当执行中等照度陈列（50 lx - 150 lx）时：应严格避免使用 3000 K 过暖色温。<br/>4. 当采用高照度陈列时（≥150 lx）：推荐选用 4000 K 色温，在此状态下空间整体愉悦感与艺术品高雅气质达成平衡。,"""Weighted analysis outlines the following practical guidelines for museum LED application:<br/>1. Subjective satisfaction reaches its absolute peak when vertical average illuminance hits approximately 150 lx.<br/>2. Under strict conservation laws requiring low illuminance (≤50 lx): 5000 K CCT is highly recommended to amplify space visual clarity.<br/>3. For medium-level illuminance (50 lx - 150 lx): Warm correlated color temperatures such as 3000 K must be strictly avoided.<br/>4. For higher-level illuminance (≥150 lx): 4000 K CCT is optimal, establishing a balance between comfort and elegance.""",,,,,
led_painting_museum_2014,1,hero_title,基于视知觉理论的博物馆国画展陈LED照明研究 (CJK 2014成果),A Study of LED on Traditional Chinese Painting Exhibition in Museum Based on the Theory of Visual Perception,Presented at The 7th Lighting Conference of China Japan and Korea (CJK 2014) in Tianjin, China. Author: Guojian Hu.,"""Presented at The 7th Lighting Conference of China, Japan and Korea (CJK 2014) in Tianjin, China. Author: Guojian Hu.""",,,,
led_painting_museum_2014,2,text_1col,Abstract & Conference History,Abstract & Conference History,本论文为2014年8月22-23日于中国天津大学召开的“第七届中日韩照明学术论坛（CJK 2014）”官方收录的论文集成果。研究全面探讨了亚洲人（特别是中国观众）在垂直展陈空间中，针对不同色温和光强度变化对传统中国古代绘画感知偏好，为博物馆展示提供了定量的数字化理论依据。,"""This academic paper was published in the proceedings of The 7th Lighting Conference of China, Japan and Korea (CJK 2014), held at Tianjin University, China. It targets Asian audiences' specific visual perception preferences towards vertical museum displays, evaluating correlated color temperature and intensity interactions to deliver quantitative design parameters.""",,,,,
