列号,A,B,C,D,E,F,G,H,I,J,K,L
字段名 (填在第一行),no,id,title_cn,title_en,tags_cn,tags_en,image,aspect,span,Date,credits_cn,credits_en
填写说明与示例,唯一的数字编号指示符,用英文标题的缩写来作为唯一的id,中文研究标题,英文研究标题,中文标签（多个用英文逗号隔开）。例如：实验室、文章、观点,英文标签。例如：Lab、Article、Opinion,封面大图,"九宫格单元视觉比例 (如 aspect-square, aspect-video)",九宫格网格跨越比 (如 md:col-span-2 或空),日期,作者中文名,作文英文名
网页排版作用,,用于生成网页专属链接 (如 rdilighting.com/shanghai-ins)。,生成网页中文大标题。,"生成网页英文副标题,AI 会自动处理中英文字体的优雅组合。",网页顶部的中文分类筛选器。,网页顶部的英文分类筛选器。,,,,,,
是否选填,必填,必填,必填,必填,选填,选填,必填,选填,选填,必填,选填,选填
,1,street_lighting,城市之光：街道照明研究,Urban Light: Street Lighting Study,城市,URBAN,https://images.unsplash.com/photo-1497366754035-f200968a6e72,aspect-[3/4] md:aspect-auto h-full min-h-[300px],md:row-span-2,2026.04.15,,
,2,museum_lighting,博物馆照明系统的演变,Evolution of Museum Lighting Systems,文化,CULTURAL,https://images.unsplash.com/photo-1544947950-fa07a98d237f,aspect-square,,2026.03.11,,
,3,minimalist_light,极简主义光影美学,Minimalist Light Aesthetics,设计,DESIGN,https://images.unsplash.com/photo-1518005020251-58296d8f8d7d,aspect-video md:aspect-auto h-full,,2026.02.20,,
,4,circadian_rhythm,光环境对心理的影响,Circadian Rhythm & Light Environment,健康,WELLNESS,https://images.unsplash.com/photo-1512917774080-9991f1c4c750,aspect-[4/5] md:aspect-auto h-full min-h-[400px],md:row-span-2,2026.01.18,,
,5,sustainable_lighting,可持续性照明技术,Sustainable Lighting Technology,技术,TECH,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab,aspect-square,,2025.12.05,,
,6,projection_mapping,建筑投影艺术,Architectural Projection Mapping,艺术,ART,https://images.unsplash.com/photo-1497366216548-37526070297c,aspect-[3/2] md:aspect-auto h-full,md:col-span-2,2025.11.12,,
