列号,A,B,C,D,E,F,G,H,I,J
"字段名 (填在第一行)",no,id,title_cn,title_en,tags_cn,tags_en,image,aspect,span,date
"填写说明与示例",唯一的数字编号指示符,(极其重要) 填入新闻的英文缩写。必须与 OSS 里的文件夹名称完全一模一样。,新闻中文标题,新闻英文标题,中文标签（多个用英文逗号隔开）,英文标签,封面大图,"九宫格单元视觉比例 (如 aspect-square, aspect-video)",九宫格网格跨越比 (如 md:col-span-2 或空),新闻发表日期
"网页排版作用",,用于生成网页专属链接 (如 rdilighting.com/news/1)。,生成网页中文大标题。,"生成网页英文副标题,AI 会自动处理中英文字体的优雅组合。",网页顶部的中文分类筛选器。,网页顶部的英文分类筛选器。,,,,
"是否选填",必填,必填,必填,必填,选填,选填,必填,选填,选填,必填
,1,"20240515_lda","rdi 荣获 2024 年度照明设计大奖","rdi Wins 2024 Lighting Design Awards","奖项","AWARDS","https://images.unsplash.com/photo-1540518614846-7eded433c457","aspect-square","md:row-span-2","2024.05.15"
,2,"20240422_sun","关于城市夜景可持续发展的探讨","Discussion on Sustainable Urban Nightscapes","新闻","NEWS","https://images.unsplash.com/photo-1518005020251-58296d8f8d7d","aspect-square","","2024.04.22"
,3,"20240410_mdw","rdi 受邀参加米兰设计周","rdi Invited to Milan Design Week","活动","EVENT","https://images.unsplash.com/photo-1544947950-fa07a98d237f","aspect-square","md:col-span-2","2024.04.10"
,4,"20240315_lw","光影工作坊：探索未来的照明材料","Light Workshop: Exploring Future Materials","工作坊","WORKSHOP","https://images.unsplash.com/photo-1512917774080-9991f1c4c750","aspect-[4/5] md:aspect-auto h-full min-h-[400px]","md:row-span-2","2024.03.15"
,5,"20240228_rbo","rdi 柏林办公室正式成立","rdi Berlin Office Officially Established","公告","ANNOUNCEMENT","https://images.unsplash.com/photo-1486406146926-c627a92ad1ab","aspect-square","","2024.02.28"
,6,"20240210_lfo","灯光节开幕：城市的光影狂欢","Light Festival Opening: Urban Light Carnival","节庆","FESTIVAL","https://images.unsplash.com/photo-1497366216548-37526070297c","aspect-[3/2] md:aspect-auto h-full","md:col-span-2","2024.02.10"
,7,"20250909_exh","3x10而励 - 都设+WEICO+RDI联合展即将开幕","3x10 Exhibition - Joint Exhibition of DSD + WEICO + RDI","展览","EXHIBITION","https://images.unsplash.com/photo-1531403009284-440f080d1e12","aspect-[2/1]","md:col-span-2","2025.09.09"
,8,"20260515_cau","光语无形 智感共生 ｜ CAUP光影秀闪耀，致敬2026国际光日（上）","CAUP Light Show Shines, Saluting 2026 International Day of Light (Part I)","展览","EXHIBITION","https://images.unsplash.com/photo-1507608869274-d3177c8bb4c7","aspect-square","","2026.05.15"
,9,"20260501_ld","致敬劳动 不负耕耘 ｜ RDI五一劳动节特别致敬","Tribute to Labor, Fulfilling Diligence | RDI Labor Day Special Dedication","节庆","FESTIVAL","https://images.unsplash.com/photo-1519751138087-5bf79df62d5b","aspect-square","","2026.05.01"
,10,"","","","","","","","",""
