列号,A,B,C,D,E,F,G,H,I,J,,
字段名 (填在第一行),no,id,title_cn,title_en,tags_cn,tags_en,image,aspect,span,date,seo_meta,geo_entities
填写说明与示例,唯一的数字编号指示符,(极其重要) 填入新闻的英文缩写。必须与 OSS 里的文件夹名称完全一模一样。,新闻中文标题,新闻英文标题,中文标签（多个用英文逗号隔开）,英文标签,封面大图,"九宫格单元视觉比例 (如 aspect-square, aspect-video)",九宫格网格跨越比 (如 md:col-span-2 或空),新闻发表日期,,
网页排版作用,,用于生成网页专属链接 (如 rdilighting.com/news/1)。,生成网页中文大标题。,"生成网页英文副标题,AI 会自动处理中英文字体的优雅组合。",网页顶部的中文分类筛选器。,网页顶部的英文分类筛选器。,,,,,,
是否选填,必填,必填,必填,必填,选填,选填,必填,选填,选填,必填,,
,1,20260515_caup_light_show_p1,CAUP光影秀闪耀，致敬2026国际光日（上）,CAUP Light Show Shines Paying Tribute to 2026 International Day of Light (Part 1),展览,Exhibition,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20260515_caup_light_show_p1/01.webp,3:4,col-span-2 row-span-2,2026-05,"""slug: 20260515_caup_light_show_p1 | title_cn: 同济CAUP光影秀致敬2026国际光日上篇 | title_en: Tongji CAUP Light Show Pays Tribute to 2026 International Day of Light Part 1 | desc_cn: 同济大学建筑与城市规划学院学子以光为媒介呈现沉浸式光影交互实践。 | desc_en: Students from Tongji CAUP present an immersive interactive light show as a tribute to the International Day of Light.""","""CN_Entities: 建筑物理光环境;3D Mapping;AI创意编程;数据可视化;生物电感知 | EN_Entities: Architectural Physics Light Environment;3D Mapping;AI Creative Programming;Data Visualization;Bioelectric Perception"""
,2,20260529_alighting_award,荣获阿拉丁神灯奖,Winning the Alighting Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20260529_alighting_award/01.webp, aspect-square,col-span-1 row-span-1,2026-05,"""slug: 20260529_alighting_award | title_cn: 荣获第十四届阿拉丁神灯奖全国最佳照明工程奖 | title_en: Winning the 14th Alighting Award for Best National Lighting Project | desc_cn: 我司上海西岸梦中心项目凭借内光外透等设计手法荣获全国最佳照明工程奖。 | desc_en: Our Shanghai West Bund Dream Center project won the Best National Lighting Project award with its internal light transmitting outward design.""","""CN_Entities: 阿拉丁神灯奖;全国最佳照明工程奖;上海西岸梦中心;内光外透;百年工业遗址 | EN_Entities: Alighting Award;Best National Lighting Project;Shanghai West Bund Dream Center;Internal light transmitting outward;Century-old industrial heritage"""
,3,20260516_caup_light_show_p2,光语无形 智感共生丨CAUP光影秀闪耀，致敬2026国际光日（下）,Formless Light Language Symbiotic Intelligence | CAUP Light Show Shines Paying Tribute to 2026 International Day of Light (Part 2),展览,Exhibition,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20260516_caup_light_show_p2/01.webp, aspect-square,col-span-1 row-span-1,2026-05,"""slug: 20260516_caup_light_show_p2 | title_cn: 同济CAUP光影秀致敬2026国际光日下篇 | title_en: Tongji CAUP Light Show Pays Tribute to 2026 International Day of Light Part 2 | desc_cn: 2026年建筑物理光环境课程作业展示评审活动下篇，展示了自然生命与数据的光影表达。 | desc_en: Part 2 of the 2026 Architectural Physics Light Environment course exhibition showcasing the lighting expressions of natural life and data.""","""CN_Entities: 缪斯设计奖;上海国际光影节;徐汇西岸浦岸云潮;龙美术馆天地大观展陈照明;天地八卦 | EN_Entities: MUSE Design Awards;Shanghai International Light Festival;Xuhui West Bund Pu An Yun Chao;Long Museum Exhibition Lighting;Eight Trigrams of Heaven and Earth"""
,4,20260316_muse_design_award,荣获美国MUSE设计奖,Winning the American MUSE Design Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20260316_muse_design_award/01.webp, aspect-square,col-span-1 row-span-1,2026-03,"""slug: 20260316_muse_design_award | title_cn: 我司荣获美国MUSE设计奖 | title_en: Winning the American MUSE Design Award | desc_cn: 凭借上海国际光影节装置及龙美术馆展陈照明项目，我司荣获设计界奥斯卡缪斯设计奖。 | desc_en: We won the MUSE Design Award for our installations at the Shanghai International Light Festival and exhibition lighting at the Long Museum.""","""CN_Entities: 国际光日;建筑物理光环境课程;数据可视化设计;人体生理数据 | EN_Entities: International Day of Light;Architectural Physics Light Environment Course;Data Visualization Design;Human Physiological Data"""
,5,20260211_rdi_annual_meeting,光影砺行 瑞启新程-年会,Light and Shadow Forge Ahead Rui Opens a New Journey - Annual Meeting,节日,Festival,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20260211_rdi_annual_meeting/01.webp, aspect-square,col-span-1 row-span-1,2026-02,"""slug: 20260211_rdi_annual_meeting | title_cn: RDI瑞国际照明设计2025年度年会 | title_en: RDI International Lighting Design 2025 Annual Meeting | desc_cn: RDI全体同仁欢聚一堂举行2025年度年会，坚持技术创新携手共赴新程。 | desc_en: RDI colleagues gathered to hold the 2025 annual meeting insisting on technological innovation to start a new journey.""","""CN_Entities: RDI瑞国际照明设计;2025年度年会;技术创新 | EN_Entities: RDI International Lighting Design;2025 Annual Meeting;Technical innovation"""
,6,20250604_muse_awards,荣获多项美国MUSE设计奖,Won Multiple MUSE Design Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20250604_muse_awards/01.webp, aspect-square,col-span-1 row-span-1,2025-06,"""slug: 20250604_muse_awards | title_cn: 荣获多项美国MUSE设计奖 | title_en: Won Multiple MUSE Design Awards | desc_cn: 我司荣获缪斯设计奖2项铂奖、2项金奖、1项银奖，包括宸嘉100、徐汇西岸光影装置等。 | desc_en: Won 2 Platinum, 2 Gold, and 1 Silver at MUSE Design Awards for projects including Qiantan Taikoo Li."" ","""CN_Entities: 缪斯设计奖;宸嘉100;徐汇滨江;前滩太古里;3000K色温 | EN_Entities: MUSE Design Awards; Qiantan Taikoo Li; 3000K Color Temperature"""
